split_mode,split,sample_id,group_id,ar,harp_id,partition,prediction_start,duration_hours,event
official,train,1028__event_anchor_010,1028,ar1028,1028,1,2011-11-15 13:00:00,9.45,1
official,train,1028__event_anchor_011,1028,ar1028,1028,1,2011-11-16 02:24:00,14.6,0
official,train,1029__event_anchor_000,1029,ar1029,1029,1,2011-11-01 07:00:00,63.8,0
official,train,1030__event_anchor_000,1030,ar1030,1030,1,2011-11-01 11:12:00,28.2,0
official,train,1035__event_anchor_000,1035,ar1035,1035,1,2011-11-02 21:12:00,78.4,0
official,train,1036__event_anchor_000,1036,ar1036,1036,1,2011-11-03 00:12:00,68.8,0
official,train,1038__event_anchor_000,1038,ar1038,1038,1,2011-11-04 09:00:00,310.0,0
official,train,1039__event_anchor_000,1039,ar1039,1039,1,2011-11-04 11:00:00,8.2,0
official,train,104__event_anchor_000,104,ar104,104,1,2010-07-27 23:24:00,317.0,0
official,train,1041__event_anchor_000,1041,ar1041,1041,1,2011-11-05 04:00:00,105.06666666666666,1
official,train,1041__event_anchor_001,1041,ar1041,1041,1,2011-11-09 17:00:00,218.4,0
official,train,1043__event_anchor_000,1043,ar1043,1043,1,2011-11-05 09:12:00,52.4,0
official,train,1045__event_anchor_000,1045,ar1045,1045,1,2011-11-05 20:24:00,12.8,0
official,train,1046__event_anchor_000,1046,ar1046,1046,1,2011-11-06 03:00:00,329.6,0
official,train,1048__event_anchor_000,1048,ar1048,1048,1,2011-11-07 01:48:00,212.8,0
official,train,105__event_anchor_000,105,ar105,105,1,2010-07-28 02:00:00,157.6,0
official,train,1052__event_anchor_000,1052,ar1052,1052,1,2011-11-08 05:12:00,45.2,0
official,train,1055__event_anchor_000,1055,ar1055,1055,1,2011-11-09 01:00:00,22.2,0
official,train,1060__event_anchor_000,1060,ar1060,1060,1,2011-11-10 01:48:00,13.0,0
official,train,1062__event_anchor_000,1062,ar1062,1062,1,2011-11-10 09:12:00,209.4,0
official,train,1063__event_anchor_000,1063,ar1063,1063,1,2011-11-10 13:00:00,173.4,0
official,train,1064__event_anchor_000,1064,ar1064,1064,1,2011-11-11 12:36:00,207.6,0
official,train,1066__event_anchor_000,1066,ar1066,1066,1,2011-11-11 17:00:00,91.5,1
official,train,1066__event_anchor_001,1066,ar1066,1066,1,2011-11-15 16:24:00,202.6,0
official,train,1069__event_anchor_000,1069,ar1069,1069,1,2011-11-12 02:12:00,40.2,0
official,train,107__event_anchor_000,107,ar107,107,1,2010-07-28 16:24:00,243.6,0
official,train,1071__event_anchor_000,1071,ar1071,1071,1,2011-11-12 11:00:00,68.6,0
official,train,1072__event_anchor_000,1072,ar1072,1072,1,2011-11-12 11:24:00,193.4,0
official,train,1075__event_anchor_000,1075,ar1075,1075,1,2011-11-12 20:36:00,189.6,0
official,train,1076__event_anchor_000,1076,ar1076,1076,1,2011-11-13 02:00:00,44.6,0
official,train,1078__event_anchor_000,1078,ar1078,1078,1,2011-11-13 14:36:00,162.0,0
official,train,1079__event_anchor_000,1079,ar1079,1079,1,2011-11-13 17:24:00,275.4,0
official,train,1080__event_anchor_000,1080,ar1080,1080,1,2011-11-14 08:00:00,288.6,0
official,train,1082__event_anchor_000,1082,ar1082,1082,1,2011-11-14 16:00:00,209.4,0
official,train,1085__event_anchor_000,1085,ar1085,1085,1,2011-11-15 10:48:00,74.4,0
official,train,1088__event_anchor_000,1088,ar1088,1088,1,2011-11-15 15:00:00,126.8,0
official,train,1089__event_anchor_000,1089,ar1089,1089,1,2011-11-15 15:48:00,310.2,0
official,train,1090__event_anchor_000,1090,ar1090,1090,1,2011-11-16 08:00:00,275.0,0
official,train,1092__event_anchor_000,1092,ar1092,1092,1,2011-11-17 01:12:00,288.6,0
official,train,1093__event_anchor_000,1093,ar1093,1093,1,2011-11-17 02:36:00,369.2,0
official,train,1094__event_anchor_000,1094,ar1094,1094,1,2011-11-17 05:36:00,1.4,0
official,train,11__event_anchor_000,11,ar11,11,1,2010-05-03 08:24:00,74.2,0
official,train,1101__event_anchor_000,1101,ar1101,1101,1,2011-11-18 14:48:00,42.2,0
official,train,1108__event_anchor_000,1108,ar1108,1108,1,2011-11-20 01:48:00,23.6,0
official,train,1109__event_anchor_000,1109,ar1109,1109,1,2011-11-20 10:24:00,44.4,0
official,train,1113__event_anchor_000,1113,ar1113,1113,1,2011-11-22 14:12:00,307.4,0
official,train,1115__event_anchor_000,1115,ar1115,1115,1,2011-11-23 02:12:00,12.4,0
official,train,1118__event_anchor_000,1118,ar1118,1118,1,2011-11-25 14:24:00,39.4,0
official,train,1119__event_anchor_000,1119,ar1119,1119,1,2011-11-26 09:12:00,258.2,0
official,train,1120__event_anchor_000,1120,ar1120,1120,1,2011-11-27 09:48:00,294.0,0
official,train,1122__event_anchor_000,1122,ar1122,1122,1,2011-11-28 16:24:00,255.8,0
official,train,1124__event_anchor_000,1124,ar1124,1124,1,2011-11-28 20:12:00,322.8,0
official,train,1126__event_anchor_000,1126,ar1126,1126,1,2011-11-29 03:36:00,392.2,0
official,train,113__event_anchor_000,113,ar113,113,1,2010-08-02 12:24:00,43.6,0
official,train,1133__event_anchor_000,1133,ar1133,1133,1,2011-12-01 08:00:00,201.6,0
official,train,1136__event_anchor_000,1136,ar1136,1136,1,2011-12-01 16:36:00,17.4,0
official,train,114__event_anchor_000,114,ar114,114,1,2010-08-03 09:36:00,246.2,0
official,train,1144__event_anchor_000,1144,ar1144,1144,1,2011-12-03 01:12:00,0.4,0
official,train,1148__event_anchor_000,1148,ar1148,1148,1,2011-12-03 14:12:00,146.4,0
official,train,1149__event_anchor_000,1149,ar1149,1149,1,2011-12-03 17:48:00,252.0,0
official,train,115__event_anchor_000,115,ar115,115,1,2010-08-03 14:24:00,99.51666666666667,1
official,train,115__event_anchor_001,115,ar115,115,1,2010-08-07 21:48:00,223.8,0
official,train,1152__event_anchor_000,1152,ar1152,1152,1,2011-12-04 02:00:00,29.8,0
official,train,116__event_anchor_000,116,ar116,116,1,2010-08-03 16:36:00,249.6,0
official,train,1164__event_anchor_000,1164,ar1164,1164,1,2011-12-05 06:24:00,167.0,0
official,train,1165__event_anchor_000,1165,ar1165,1165,1,2011-12-05 21:24:00,156.2,0
official,train,1168__event_anchor_000,1168,ar1168,1168,1,2011-12-07 14:36:00,318.0,0
official,train,1169__event_anchor_000,1169,ar1169,1169,1,2011-12-07 16:36:00,197.0,0
official,train,1170__event_anchor_000,1170,ar1170,1170,1,2011-12-07 20:00:00,60.4,0
official,train,1171__event_anchor_000,1171,ar1171,1171,1,2011-12-07 20:36:00,282.8,0
official,train,1175__event_anchor_000,1175,ar1175,1175,1,2011-12-08 15:48:00,91.2,0
official,train,1176__event_anchor_000,1176,ar1176,1176,1,2011-12-09 08:36:00,160.6,0
official,train,1177__event_anchor_000,1177,ar1177,1177,1,2011-12-09 14:48:00,92.6,0
official,train,1178__event_anchor_000,1178,ar1178,1178,1,2011-12-09 15:36:00,95.8,0
official,train,1179__event_anchor_000,1179,ar1179,1179,1,2011-12-09 16:48:00,79.0,0
official,train,1180__event_anchor_000,1180,ar1180,1180,1,2011-12-09 22:48:00,101.4,0
official,train,1181__event_anchor_000,1181,ar1181,1181,1,2011-12-11 05:48:00,27.0,0
official,train,1183__event_anchor_000,1183,ar1183,1183,1,2011-12-11 12:12:00,311.6,0
official,train,1184__event_anchor_000,1184,ar1184,1184,1,2011-12-11 15:12:00,216.6,0
official,train,1186__event_anchor_000,1186,ar1186,1186,1,2011-12-12 08:48:00,219.2,0
official,train,1187__event_anchor_000,1187,ar1187,1187,1,2011-12-12 16:48:00,30.6,0
official,train,1188__event_anchor_000,1188,ar1188,1188,1,2011-12-12 17:00:00,52.6,0
official,train,1197__event_anchor_000,1197,ar1197,1197,1,2011-12-14 15:48:00,57.8,0
official,train,1199__event_anchor_000,1199,ar1199,1199,1,2011-12-14 20:48:00,102.2,0
official,train,12__event_anchor_000,12,ar12,12,1,2010-05-03 09:00:00,243.0,0
official,train,1201__event_anchor_000,1201,ar1201,1201,1,2011-12-15 17:24:00,211.6,0
official,train,1204__event_anchor_000,1204,ar1204,1204,1,2011-12-15 21:36:00,186.2,0
official,train,1205__event_anchor_000,1205,ar1205,1205,1,2011-12-15 22:24:00,69.6,0
official,train,1206__event_anchor_000,1206,ar1206,1206,1,2011-12-16 10:48:00,224.8,0
official,train,1209__event_anchor_000,1209,ar1209,1209,1,2011-12-17 00:12:00,209.98333333333332,1
official,train,1209__event_anchor_001,1209,ar1209,1209,1,2011-12-25 22:00:00,4.216666666666667,1
official,train,1209__event_anchor_002,1209,ar1209,1209,1,2011-12-26 06:12:00,14.0,1
official,train,1209__event_anchor_003,1209,ar1209,1209,1,2011-12-27 00:00:00,85.8,0
official,train,1210__event_anchor_000,1210,ar1210,1210,1,2011-12-17 04:12:00,276.2,0
official,train,1214__event_anchor_000,1214,ar1214,1214,1,2011-12-17 15:36:00,109.0,0
official,train,1215__event_anchor_000,1215,ar1215,1215,1,2011-12-18 00:36:00,191.4,0
official,train,1218__event_anchor_000,1218,ar1218,1218,1,2011-12-18 10:00:00,77.2,0
official,train,1220__event_anchor_000,1220,ar1220,1220,1,2011-12-18 19:24:00,202.6,0
official,train,1221__event_anchor_000,1221,ar1221,1221,1,2011-12-18 20:12:00,325.4,0
official,train,1222__event_anchor_000,1222,ar1222,1222,1,2011-12-19 02:00:00,139.2,0
official,train,1224__event_anchor_000,1224,ar1224,1224,1,2011-12-19 07:00:00,132.2,0
official,train,1226__event_anchor_000,1226,ar1226,1226,1,2011-12-19 20:24:00,7.6,0
official,train,1232__event_anchor_000,1232,ar1232,1232,1,2011-12-22 06:48:00,159.6,0
official,train,1233__event_anchor_000,1233,ar1233,1233,1,2011-12-22 13:00:00,85.4,0
official,train,1235__event_anchor_000,1235,ar1235,1235,1,2011-12-22 14:36:00,2.6,0
official,train,1237__event_anchor_000,1237,ar1237,1237,1,2011-12-22 22:24:00,321.8,0
official,train,1238__event_anchor_000,1238,ar1238,1238,1,2011-12-22 23:00:00,110.6,0
official,train,124__event_anchor_000,124,ar124,124,1,2010-08-07 14:24:00,218.4,0
official,train,1241__event_anchor_000,1241,ar1241,1241,1,2011-12-23 18:12:00,181.6,0
official,train,1242__event_anchor_000,1242,ar1242,1242,1,2011-12-24 06:36:00,19.6,0
official,train,1245__event_anchor_000,1245,ar1245,1245,1,2011-12-25 08:48:00,96.2,0
official,train,1246__event_anchor_000,1246,ar1246,1246,1,2011-12-25 10:48:00,145.8,0
official,train,1248__event_anchor_000,1248,ar1248,1248,1,2011-12-25 19:12:00,171.0,0
official,train,1249__event_anchor_000,1249,ar1249,1249,1,2011-12-26 00:48:00,293.2,0
official,train,1252__event_anchor_000,1252,ar1252,1252,1,2011-12-26 10:12:00,205.4,0
official,train,1253__event_anchor_000,1253,ar1253,1253,1,2011-12-26 10:24:00,36.4,0
official,train,1256__event_anchor_000,1256,ar1256,1256,1,2011-12-26 15:12:00,70.46666666666667,1
official,train,1256__event_anchor_001,1256,ar1256,1256,1,2011-12-29 17:36:00,4.116666666666666,1
official,train,1256__event_anchor_002,1256,ar1256,1256,1,2011-12-30 01:36:00,1.45,1
official,train,1256__event_anchor_003,1256,ar1256,1256,1,2011-12-30 07:00:00,30.15,1
official,train,1256__event_anchor_004,1256,ar1256,1256,1,2011-12-31 17:00:00,226.0,0
official,train,1258__event_anchor_000,1258,ar1258,1258,1,2011-12-27 13:24:00,140.2,0
official,train,126__event_anchor_000,126,ar126,126,1,2010-08-08 18:24:00,3.2,0
official,train,1269__event_anchor_000,1269,ar1269,1269,1,2011-12-29 04:36:00,51.2,0
official,train,1270__event_anchor_000,1270,ar1270,1270,1,2011-12-30 01:12:00,184.4,0
official,train,1271__event_anchor_000,1271,ar1271,1271,1,2011-12-30 17:12:00,276.6,0
official,train,1272__event_anchor_000,1272,ar1272,1272,1,2011-12-31 10:36:00,85.8,0
official,train,1273__event_anchor_000,1273,ar1273,1273,1,2012-01-01 09:36:00,92.2,0
official,train,1274__event_anchor_000,1274,ar1274,1274,1,2012-01-01 12:12:00,152.8,0
official,train,1275__event_anchor_000,1275,ar1275,1275,1,2012-01-01 23:12:00,257.2,0
official,train,1278__event_anchor_000,1278,ar1278,1278,1,2012-01-02 08:36:00,314.8,0
official,train,1279__event_anchor_000,1279,ar1279,1279,1,2012-01-02 16:12:00,151.6,0
official,train,128__event_anchor_000,128,ar128,128,1,2010-08-09 21:00:00,281.4,0
official,train,1282__event_anchor_000,1282,ar1282,1282,1,2012-01-03 05:12:00,57.4,0
official,train,1284__event_anchor_000,1284,ar1284,1284,1,2012-01-03 17:24:00,69.0,0
official,train,1287__event_anchor_000,1287,ar1287,1287,1,2012-01-05 05:36:00,25.0,0
official,train,129__event_anchor_000,129,ar129,129,1,2010-08-10 02:48:00,100.4,0
official,train,1291__event_anchor_000,1291,ar1291,1291,1,2012-01-05 16:48:00,58.8,0
official,train,1292__event_anchor_000,1292,ar1292,1292,1,2012-01-05 18:24:00,26.0,0
official,train,1293__event_anchor_000,1293,ar1293,1293,1,2012-01-06 02:12:00,212.0,0
official,train,1294__event_anchor_000,1294,ar1294,1294,1,2012-01-06 02:24:00,7.4,0
official,train,1295__event_anchor_000,1295,ar1295,1295,1,2012-01-06 06:00:00,146.4,0
official,train,1298__event_anchor_000,1298,ar1298,1298,1,2012-01-06 18:12:00,11.4,0
official,train,1299__event_anchor_000,1299,ar1299,1299,1,2012-01-07 04:48:00,55.8,0
official,train,130__event_anchor_000,130,ar130,130,1,2010-08-10 03:12:00,257.6,0
official,train,1300__event_anchor_000,1300,ar1300,1300,1,2012-01-07 05:36:00,272.4,0
official,train,1302__event_anchor_000,1302,ar1302,1302,1,2012-01-08 20:48:00,167.4,0
official,train,1303__event_anchor_000,1303,ar1303,1303,1,2012-01-09 11:48:00,214.8,0
official,train,1304__event_anchor_000,1304,ar1304,1304,1,2012-01-10 04:24:00,201.0,0
official,train,1305__event_anchor_000,1305,ar1305,1305,1,2012-01-10 14:00:00,86.0,0
official,train,1307__event_anchor_000,1307,ar1307,1307,1,2012-01-11 07:48:00,136.6,0
official,train,1308__event_anchor_000,1308,ar1308,1308,1,2012-01-11 10:00:00,91.4,0
official,train,1309__event_anchor_000,1309,ar1309,1309,1,2012-01-11 16:36:00,205.4,0
official,train,131__event_anchor_000,131,ar131,131,1,2010-08-11 03:00:00,181.2,0
official,train,1312__event_anchor_000,1312,ar1312,1312,1,2012-01-13 02:00:00,183.8,0
official,train,1313__event_anchor_000,1313,ar1313,1313,1,2012-01-13 10:12:00,232.8,0
official,train,1318__event_anchor_000,1318,ar1318,1318,1,2012-01-13 20:36:00,281.4,0
official,train,1319__event_anchor_000,1319,ar1319,1319,1,2012-01-14 05:48:00,100.0,0
official,train,1320__event_anchor_000,1320,ar1320,1320,1,2012-01-14 08:12:00,57.2,0
official,train,1321__event_anchor_000,1321,ar1321,1321,1,2012-01-14 10:12:00,3.033333333333333,1
official,train,1321__event_anchor_001,1321,ar1321,1321,1,2012-01-14 17:12:00,59.483333333333334,1
official,train,1321__event_anchor_002,1321,ar1321,1321,1,2012-01-17 08:36:00,34.46666666666667,1
official,train,1321__event_anchor_003,1321,ar1321,1321,1,2012-01-18 23:00:00,14.733333333333333,1
official,train,1321__event_anchor_004,1321,ar1321,1321,1,2012-01-19 17:36:00,82.03333333333333,1
official,train,1321__event_anchor_005,1321,ar1321,1321,1,2012-01-23 07:36:00,106.01666666666667,1
official,train,1321__event_anchor_006,1321,ar1321,1321,1,2012-01-27 21:36:00,4.8,0
official,train,1325__event_anchor_000,1325,ar1325,1325,1,2012-01-15 08:12:00,123.6,0
official,train,1326__event_anchor_000,1326,ar1326,1326,1,2012-01-15 10:48:00,145.8,0
official,train,1327__event_anchor_000,1327,ar1327,1327,1,2012-01-15 10:48:00,60.8,0
official,train,1329__event_anchor_000,1329,ar1329,1329,1,2012-01-16 01:48:00,49.6,0
official,train,133__event_anchor_000,133,ar133,133,1,2010-08-13 03:48:00,36.8,0
official,train,1330__event_anchor_000,1330,ar1330,1330,1,2012-01-16 07:24:00,91.6,0
official,train,1331__event_anchor_000,1331,ar1331,1331,1,2012-01-16 11:00:00,128.8,0
official,train,1332__event_anchor_000,1332,ar1332,1332,1,2012-01-16 15:12:00,5.0,0
official,train,1333__event_anchor_000,1333,ar1333,1333,1,2012-01-16 16:12:00,5.6,0
official,train,1335__event_anchor_000,1335,ar1335,1335,1,2012-01-17 19:00:00,8.6,0
official,train,1336__event_anchor_000,1336,ar1336,1336,1,2012-01-18 01:48:00,53.4,0
official,train,1338__event_anchor_000,1338,ar1338,1338,1,2012-01-20 20:12:00,313.8,0
official,train,1339__event_anchor_000,1339,ar1339,1339,1,2012-01-21 01:36:00,241.6,0
official,train,1340__event_anchor_000,1340,ar1340,1340,1,2012-01-21 08:12:00,183.6,0
official,train,1342__event_anchor_000,1342,ar1342,1342,1,2012-01-22 01:48:00,274.8,0
official,train,1343__event_anchor_000,1343,ar1343,1343,1,2012-01-23 03:12:00,16.2,0
official,train,1345__event_anchor_000,1345,ar1345,1345,1,2012-01-24 04:12:00,287.8,0
official,train,1348__event_anchor_000,1348,ar1348,1348,1,2012-01-25 17:12:00,225.4,0
official,train,1349__event_anchor_000,1349,ar1349,1349,1,2012-01-26 01:36:00,150.0,0
official,train,135__event_anchor_000,135,ar135,135,1,2010-08-15 12:00:00,291.8,0
official,train,1350__event_anchor_000,1350,ar1350,1350,1,2012-01-26 06:48:00,276.71666666666664,1
official,train,1350__event_anchor_001,1350,ar1350,1350,1,2012-02-06 23:24:00,39.4,0
official,train,1353__event_anchor_000,1353,ar1353,1353,1,2012-01-26 16:24:00,222.6,0
official,train,1354__event_anchor_000,1354,ar1354,1354,1,2012-01-26 16:48:00,40.0,0
official,train,1355__event_anchor_000,1355,ar1355,1355,1,2012-01-27 00:48:00,70.2,0
official,train,1357__event_anchor_000,1357,ar1357,1357,1,2012-01-27 12:12:00,158.0,0
official,train,1359__event_anchor_000,1359,ar1359,1359,1,2012-01-27 14:36:00,132.6,0
official,train,1365__event_anchor_000,1365,ar1365,1365,1,2012-01-30 00:12:00,141.8,0
official,train,1366__event_anchor_000,1366,ar1366,1366,1,2012-01-30 13:24:00,154.0,0
official,train,1367__event_anchor_000,1367,ar1367,1367,1,2012-01-30 15:48:00,271.8,0
official,train,1368__event_anchor_000,1368,ar1368,1368,1,2012-01-30 16:48:00,63.8,0
official,train,1372__event_anchor_000,1372,ar1372,1372,1,2012-01-31 13:36:00,205.2,0
official,train,1379__event_anchor_000,1379,ar1379,1379,1,2012-02-02 06:36:00,18.2,0
official,train,1380__event_anchor_000,1380,ar1380,1380,1,2012-02-04 09:48:00,9.2,0
official,train,1381__event_anchor_000,1381,ar1381,1381,1,2012-02-04 13:12:00,22.0,0
official,train,1382__event_anchor_000,1382,ar1382,1382,1,2012-02-04 16:12:00,206.0,0
official,train,1384__event_anchor_000,1384,ar1384,1384,1,2012-02-05 14:48:00,4.0,0
official,train,1385__event_anchor_000,1385,ar1385,1385,1,2012-02-07 07:12:00,181.4,0
official,train,1386__event_anchor_000,1386,ar1386,1386,1,2012-02-07 18:00:00,130.6,0
official,train,1387__event_anchor_000,1387,ar1387,1387,1,2012-02-08 09:24:00,55.2,0
official,train,1388__event_anchor_000,1388,ar1388,1388,1,2012-02-08 12:36:00,55.2,0
official,train,1389__event_anchor_000,1389,ar1389,1389,1,2012-02-08 17:48:00,232.6,0
official,train,1390__event_anchor_000,1390,ar1390,1390,1,2012-02-09 05:00:00,268.6,0
official,train,1391__event_anchor_000,1391,ar1391,1391,1,2012-02-09 07:48:00,250.4,0
official,train,1393__event_anchor_000,1393,ar1393,1393,1,2012-02-09 23:24:00,32.4,0
official,train,1394__event_anchor_000,1394,ar1394,1394,1,2012-02-11 05:36:00,71.0,0
official,train,1396__event_anchor_000,1396,ar1396,1396,1,2012-02-12 04:12:00,259.0,0
official,train,1397__event_anchor_000,1397,ar1397,1397,1,2012-02-12 07:24:00,219.2,0
official,train,1398__event_anchor_000,1398,ar1398,1398,1,2012-02-12 09:00:00,36.2,0
official,train,1399__event_anchor_000,1399,ar1399,1399,1,2012-02-12 12:12:00,301.8,0
official,train,14__event_anchor_000,14,ar14,14,1,2010-05-05 07:00:00,37.8,0
official,train,140__event_anchor_000,140,ar140,140,1,2010-08-21 14:00:00,37.2,0
official,train,1400__event_anchor_000,1400,ar1400,1400,1,2012-02-12 19:24:00,21.4,0
official,train,1404__event_anchor_000,1404,ar1404,1404,1,2012-02-14 12:36:00,174.8,0
official,train,1405__event_anchor_000,1405,ar1405,1405,1,2012-02-15 13:24:00,268.4,0
official,train,1406__event_anchor_000,1406,ar1406,1406,1,2012-02-15 20:12:00,109.4,0
official,train,1408__event_anchor_000,1408,ar1408,1408,1,2012-02-16 16:24:00,131.4,0
official,train,1409__event_anchor_000,1409,ar1409,1409,1,2012-02-16 21:00:00,2.2,0
official,train,141__event_anchor_000,141,ar141,141,1,2010-08-21 16:00:00,26.4,0
official,train,1410__event_anchor_000,1410,ar1410,1410,1,2012-02-18 03:48:00,237.2,0
official,train,1415__event_anchor_000,1415,ar1415,1415,1,2012-02-18 15:48:00,8.0,0
official,train,1417__event_anchor_000,1417,ar1417,1417,1,2012-02-19 07:36:00,25.8,0
official,train,1419__event_anchor_000,1419,ar1419,1419,1,2012-02-20 06:36:00,135.4,0
official,train,1420__event_anchor_000,1420,ar1420,1420,1,2012-02-21 19:00:00,154.8,0
official,train,1422__event_anchor_000,1422,ar1422,1422,1,2012-02-23 00:12:00,307.6,0
official,train,1423__event_anchor_000,1423,ar1423,1423,1,2012-02-23 00:12:00,195.6,0
official,train,1424__event_anchor_000,1424,ar1424,1424,1,2012-02-25 03:12:00,157.4,0
official,train,1425__event_anchor_000,1425,ar1425,1425,1,2012-02-25 03:12:00,265.6,0
official,train,1426__event_anchor_000,1426,ar1426,1426,1,2012-02-25 03:12:00,148.0,0
official,train,1429__event_anchor_000,1429,ar1429,1429,1,2012-02-25 03:12:00,123.2,0
official,train,1430__event_anchor_000,1430,ar1430,1430,1,2012-02-25 03:12:00,189.4,0
official,train,1431__event_anchor_000,1431,ar1431,1431,1,2012-02-25 03:12:00,102.0,0
official,train,1432__event_anchor_000,1432,ar1432,1432,1,2012-02-25 10:48:00,32.6,0
official,train,1433__event_anchor_000,1433,ar1433,1433,1,2012-02-26 02:36:00,17.0,0
official,train,1436__event_anchor_000,1436,ar1436,1436,1,2012-02-26 12:24:00,55.4,0
official,train,1438__event_anchor_000,1438,ar1438,1438,1,2012-02-26 20:36:00,2.6,0
official,train,1439__event_anchor_000,1439,ar1439,1439,1,2012-02-28 06:48:00,73.2,0
official,train,1441__event_anchor_000,1441,ar1441,1441,1,2012-02-28 13:48:00,185.0,0
official,train,1442__event_anchor_000,1442,ar1442,1442,1,2012-02-28 23:00:00,26.6,0
official,train,1445__event_anchor_000,1445,ar1445,1445,1,2012-03-01 15:00:00,127.4,0
official,train,1446__event_anchor_000,1446,ar1446,1446,1,2012-03-01 15:24:00,201.6,0
official,train,1447__event_anchor_000,1447,ar1447,1447,1,2012-03-01 17:24:00,294.0,0
official,train,1448__event_anchor_000,1448,ar1448,1448,1,2012-03-01 18:24:00,37.2,0
official,train,1449__event_anchor_000,1449,ar1449,1449,1,2012-03-02 20:12:00,38.28333333333333,1
official,train,1449__event_anchor_001,1449,ar1449,1449,1,2012-03-04 14:24:00,12.1,1
official,train,1449__event_anchor_002,1449,ar1449,1449,1,2012-03-05 06:24:00,12.766666666666667,1
official,train,1449__event_anchor_003,1449,ar1449,1449,1,2012-03-05 23:00:00,1.3666666666666667,1
official,train,1449__event_anchor_004,1449,ar1449,1449,1,2012-03-06 04:12:00,3.6666666666666665,1
official,train,1449__event_anchor_005,1449,ar1449,1449,1,2012-03-06 11:48:00,0.5833333333333334,1
official,train,1449__event_anchor_006,1449,ar1449,1449,1,2012-03-06 16:12:00,4.866666666666666,1
official,train,1449__event_anchor_007,1449,ar1449,1449,1,2012-03-07 01:00:00,0.08333333333333333,1
official,train,1449__event_anchor_008,1449,ar1449,1449,1,2012-03-07 05:00:00,46.36666666666667,1
official,train,1449__event_anchor_009,1449,ar1449,1449,1,2012-03-09 07:12:00,34.05,1
official,train,1449__event_anchor_010,1449,ar1449,1449,1,2012-03-10 21:12:00,68.0,1
official,train,1449__event_anchor_011,1449,ar1449,1449,1,2012-03-13 21:00:00,51.2,0
official,train,145__event_anchor_000,145,ar145,145,1,2010-08-24 02:12:00,317.0,0
official,train,146__event_anchor_000,146,ar146,146,1,2010-08-25 00:00:00,239.8,0
